interval_id,relation,taskset_id,U_norm,source_E0,task_id,priority_rank,w,h,q,complete_envelope,local_envelope,service_value_without_e0,lower_bound_inclusive,upper_bound_exclusive,midpoint
I0017,DEADLINE_CARRY_IN,v93-u0-e1-t00-f8b4c71f0699,0.2,1,9,9,71,0,42,18004800000000000037/200000000000000000000,8937300000000000019/100000000000000000000,9225516599999999/200000000000000000000,17865374483400000039/200000000000000000000,8997787241700000019/100000000000000000000,35860948966800000077/400000000000000000000
I0018,DEADLINE_CARRY_IN,v93-u0-e1-t00-f8b4c71f0699,0.2,1,9,9,71,0,43,18042000000000000041/200000000000000000000,8955900000000000021/100000000000000000000,47252709/1000000000000,8951174729100000021/100000000000000000000,18032549458200000041/200000000000000000000,35934898916400000083/400000000000000000000
I0019,DEADLINE_CARRY_IN,v93-u0-e1-t00-f8b4c71f0699,0.2,1,9,9,71,0,44,3615840000000000009/40000000000000000000,4482600000000000011/50000000000000000000,24188919/500000000000,4480181108100000011/50000000000000000000,3613904886480000009/40000000000000000000,35990248864800000089/400000000000000000000
I0020,DEADLINE_CARRY_IN,v93-u0-e1-t00-f8b4c71f0699,0.2,1,9,9,71,0,45,1131693750000000003/12500000000000000000,4482600000000000011/50000000000000000000,4950297/100000000000,4480124851500000011/50000000000000000000,1131074962875000003/12500000000000000000,9004424703000000023/100000000000000000000
I0021,DEADLINE_CARRY_IN,v93-u0-e1-t00-f8b4c71f0699,0.2,1,9,9,71,0,46,1131693750000000003/12500000000000000000,4482600000000000011/50000000000000000000,10125621/200000000000,4480068594750000011/50000000000000000000,1131060898687500003/12500000000000000000,9004312189500000023/100000000000000000000
I0022,DEADLINE_CARRY_IN,v93-u0-e1-t00-f8b4c71f0699,0.2,1,9,9,71,0,47,1131693750000000003/12500000000000000000,4482600000000000011/50000000000000000000,10350648599999999/200000000000000000000,3584009870280000009/40000000000000000000,18096749351400000049/200000000000000000000,18008399351400000047/200000000000000000000
I0023,DEADLINE_CARRY_IN,v93-u0-e1-t00-f8b4c71f0699,0.2,1,9,9,71,0,48,1131693750000000003/12500000000000000000,4482600000000000011/50000000000000000000,5287838399999999/100000000000000000000,8959912161600000023/100000000000000000000,361930486464000001/4000000000000000000,1125510895200000003/12500000000000000000
I0024,DEADLINE_CARRY_IN,v93-u0-e1-t00-f8b4c71f0699,0.2,1,9,9,71,0,49,1131693750000000003/12500000000000000000,4482600000000000011/50000000000000000000,10800705599999999/200000000000000000000,3583919858880000009/40000000000000000000,18096299294400000049/200000000000000000000,18007949294400000047/200000000000000000000
I0025,DEADLINE_CARRY_IN,v93-u0-e1-t00-f8b4c71f0699,0.2,1,9,9,71,0,50,1131693750000000003/12500000000000000000,4482600000000000011/50000000000000000000,2205147/40000000000,4479843566250000011/50000000000000000000,1131004641562500003/12500000000000000000,9003862132500000023/100000000000000000000
I0026,DEADLINE_CARRY_IN,v93-u0-e1-t00-f8b4c71f0699,0.2,1,9,9,71,0,51,1131693750000000003/12500000000000000000,4482600000000000011/50000000000000000000,2250153/40000000000,4479787308750000011/50000000000000000000,1130990577187500003/12500000000000000000,9003749617500000023/100000000000000000000
I0027,DEADLINE_CARRY_IN,v93-u0-e1-t00-f8b4c71f0699,0.2,1,9,9,71,0,52,1131693750000000003/12500000000000000000,4482600000000000011/50000000000000000000,28689489/500000000000,4479731051100000011/50000000000000000000,1130976512775000003/12500000000000000000,9003637102200000023/100000000000000000000
I0028,DEADLINE_CARRY_IN,v93-u0-e1-t00-f8b4c71f0699,0.2,1,9,9,71,0,53,1131693750000000003/12500000000000000000,4482600000000000011/50000000000000000000,29252067/500000000000,4479674793300000011/50000000000000000000,1130962448325000003/12500000000000000000,9003524586600000023/100000000000000000000
I0029,DEADLINE_CARRY_IN,v93-u0-e1-t00-f8b4c71f0699,0.2,1,9,9,71,0,54,1131693750000000003/12500000000000000000,4482600000000000011/50000000000000000000,14907323249999999/250000000000000000000,2799761584593750007/31250000000000000000,22618967676750000061/250000000000000000000,45017060353500000117/500000000000000000000
I0030,DEADLINE_CARRY_IN,v93-u0-e1-t00-f8b4c71f0699,0.2,1,9,9,71,0,55,1131693750000000003/12500000000000000000,4482600000000000011/50000000000000000000,6075445499999999/100000000000000000000,8959124554500000023/100000000000000000000,361898982180000001/4000000000000000000,1125412444312500003/12500000000000000000
I0031,DEADLINE_CARRY_IN,v93-u0-e1-t00-f8b4c71f0699,0.2,1,9,9,71,0,56,1131693750000000003/12500000000000000000,4482600000000000011/50000000000000000000,3093981/50000000000,4479506019000000011/50000000000000000000,1130920254750000003/12500000000000000000,9003187038000000023/100000000000000000000
I0032,DEADLINE_CARRY_IN,v93-u0-e1-t00-f8b4c71f0699,0.2,1,9,9,71,0,57,1131693750000000003/12500000000000000000,4482600000000000011/50000000000000000000,6300478799999999/100000000000000000000,8958899521200000023/100000000000000000000,361889980848000001/4000000000000000000,1125384315150000003/12500000000000000000
I0033,DEADLINE_CARRY_IN,v93-u0-e1-t00-f8b4c71f0699,0.2,1,9,9,71,0,58,1131693750000000003/12500000000000000000,4482600000000000011/50000000000000000000,64129959/1000000000000,4479393502050000011/50000000000000000000,1130892125512500003/12500000000000000000,9002962004100000023/100000000000000000000
I0034,DEADLINE_CARRY_IN,v93-u0-e1-t00-f8b4c71f0699,0.2,1,9,9,71,0,59,1131693750000000003/12500000000000000000,4482600000000000011/50000000000000000000,65255133/1000000000000,4479337243350000011/50000000000000000000,1130878060837500003/12500000000000000000,9002849486700000023/100000000000000000000
I0035,DEADLINE_CARRY_IN,v93-u0-e1-t00-f8b4c71f0699,0.2,1,9,9,71,0,60,1131693750000000003/12500000000000000000,4482600000000000011/50000000000000000000,6638031/100000000000,4479280984500000011/50000000000000000000,1130863996125000003/12500000000000000000,9002736969000000023/100000000000000000000
I0036,DEADLINE_CARRY_IN,v93-u0-e1-t00-f8b4c71f0699,0.2,1,9,9,71,0,61,1131693750000000003/12500000000000000000,4482600000000000011/50000000000000000000,6750549/100000000000,4479224725500000011/50000000000000000000,1130849931375000003/12500000000000000000,9002624451000000023/100000000000000000000
I0037,DEADLINE_CARRY_IN,v93-u0-e1-t00-f8b4c71f0699,0.2,1,9,9,71,0,62,1131693750000000003/12500000000000000000,4482600000000000011/50000000000000000000,6863067299999999/100000000000000000000,8958336932700000023/100000000000000000000,361867477308000001/4000000000000000000,1125313991587500003/12500000000000000000
I0038,DEADLINE_CARRY_IN,v93-u0-e1-t00-f8b4c71f0699,0.2,1,9,9,71,0,63,1131693750000000003/12500000000000000000,4482600000000000011/50000000000000000000,69755859/1000000000000,4479112207050000011/50000000000000000000,1130821801762500003/12500000000000000000,9002399414100000023/100000000000000000000
I0039,DEADLINE_CARRY_IN,v93-u0-e1-t00-f8b4c71f0699,0.2,1,9,9,71,0,64,1131693750000000003/12500000000000000000,3587940000000000009/40000000000000000000,7088104799999999/100000000000000000000,17925523790400000047/200000000000000000000,361858475808000001/4000000000000000000,36018447580800000097/400000000000000000000
I0040,DEADLINE_CARRY_IN,v93-u0-e1-t00-f8b4c71f0699,0.2,1,9,9,71,0,65,1131693750000000003/12500000000000000000,9044250000000000023/100000000000000000000,7200623999999999/100000000000000000000,1129631172000000003/12500000000000000000,361853975040000001/4000000000000000000,18083398752000000049/200000000000000000000
I0041,DEADLINE_CARRY_IN,v93-u0-e1-t00-f8b4c71f0699,0.2,1,9,9,71,0,66,1131693750000000003/12500000000000000000,18097800000000000047/200000000000000000000,14626287/200000000000,18083173713000000047/200000000000000000000,1130779607062500003/12500000000000000000,7235129485200000019/80000000000000000000
I0042,DEADLINE_CARRY_IN,v93-u0-e1-t05-d56b119fb810,0.2,1,8,8,44,0,41,1670512500000000009/25000000000000000000,1334550000000000007/20000000000000000000,2250123/50000000000,1333649950800000007/20000000000000000000,1669387438500000009/25000000000000000000,13345799508000000071/200000000000000000000
I0043,DEADLINE_CARRY_IN,v93-u0-e1-t05-d56b119fb810,0.2,1,8,8,44,0,42,1687950000000000009/25000000000000000000,1348500000000000007/20000000000000000000,9225516599999999/200000000000000000000,13475774483400000071/200000000000000000000,13494374483400000073/200000000000000000000,1685634310425000009/25000000000000000000
I0044,DEADLINE_CARRY_IN,v93-u0-e1-t05-d56b119fb810,0.2,1,8,8,44,0,43,1705387500000000009/25000000000000000000,13633800000000000071/200000000000000000000,47252709/1000000000000,13624349458200000071/200000000000000000000,1704206182275000009/25000000000000000000,27257998916400000143/400000000000000000000
I0045,FIXED_CW_CARRY_IN,v93-u0-e1-t05-d56b119fb810,0.2,1,7,7,41,0,33,8388600000000000077/200000000000000000000,2094825000000000019/50000000000000000000,2250099/62500000000,2093024920800000019/50000000000000000000,8381399683200000077/200000000000000000000,16753499366400000153/400000000000000000000
I0046,FIXED_CW_CARRY_IN,v93-u0-e1-t05-d56b119fb810,0.2,1,7,7,41,0,34,8388600000000000077/200000000000000000000,2094825000000000019/50000000000000000000,37126683/1000000000000,2092968665850000019/50000000000000000000,8381174663400000077/200000000000000000000,16753049326800000153/400000000000000000000
I0047,FIXED_CW_CARRY_IN,v93-u0-e1-t05-d56b119fb810,0.2,1,7,7,41,0,35,8388600000000000077/200000000000000000000,2094825000000000019/50000000000000000000,9562946250000001/250000000000000000000,5232281026875000047/125000000000000000000,41904748215000000381/1000000000000000000000,83762996430000000757/2000000000000000000000
I0048,FIXED_CW_CARRY_IN,v93-u0-e1-t05-d56b119fb810,0.2,1,7,7,41,0,36,8388600000000000077/200000000000000000000,2094825000000000019/50000000000000000000,7875378000000001/200000000000000000000,334856984880000003/8000000000000000000,2095181155500000019/50000000000000000000,16752149244000000151/400000000000000000000
I0049,FIXED_CW_CARRY_IN,v93-u0-e1-t05-d56b119fb810,0.2,1,7,7,41,0,37,8388600000000000077/200000000000000000000,2094825000000000019/50000000000000000000,20250999/500000000000,2092799900100000019/50000000000000000000,8380499600400000077/200000000000000000000,16751699200800000153/400000000000000000000
I0050,FIXED_CW_CARRY_IN,v93-u0-e1-t05-d56b119fb810,0.2,1,7,7,41,0,38,8388600000000000077/200000000000000000000,2094825000000000019/50000000000000000000,41627109/1000000000000,2092743644550000019/50000000000000000000,8380274578200000077/200000000000000000000,16751249156400000153/400000000000000000000
I0051,FIXED_CW_CARRY_IN,v93-u0-e1-t05-d56b119fb810,0.2,1,7,7,41,0,39,8388600000000000077/200000000000000000000,2094825000000000019/50000000000000000000,42752222999999997/1000000000000000000000,41853747777000000383/1000000000000000000000,10475061944250000097/250000000000000000000,83753995554000000771/2000000000000000000000
I0052,FIXED_CW_CARRY_IN,v93-u0-e1-t05-d56b119fb810,0.2,1,7,7,41,0,40,8388600000000000077/200000000000000000000,2094825000000000019/50000000000000000000,4387733999999999/100000000000000000000,4185262266000000039/100000000000000000000,8379824532000000079/200000000000000000000,16750349064000000157/400000000000000000000
I0053,FIXED_CW_CARRY_IN,v93-u0-e1-t05-d56b119fb810,0.2,1,9,9,48,0,30,1655400000000000013/40000000000000000000,8258400000000000063/200000000000000000000,32626305000000003/1000000000000000000000,5157421711875000039/125000000000000000000,20676186847500000161/500000000000000000000,41305873695000000317/1000000000000000000000
I0054,FIXED_CW_CARRY_IN,v93-u0-e1-t05-d56b119fb810,0.2,1,9,9,48,0,31,1655400000000000013/40000000000000000000,8258400000000000063/200000000000000000000,8437848749999999/250000000000000000000,41258248605000000319/1000000000000000000000,41351248605000000329/1000000000000000000000,10326187151250000081/250000000000000000000
I0055,FIXED_CW_CARRY_IN,v93-u0-e1-t05-d56b119fb810,0.2,1,9,9,48,0,32,1655400000000000013/40000000000000000000,8258400000000000063/200000000000000000000,4359561/125000000000,8251424702400000063/200000000000000000000,1654004940480000013/40000000000000000000,129073823475000001/3125000000000000000
I0056,FIXED_CW_CARRY_IN,v93-u0-e1-t05-d56b119fb810,0.2,1,9,9,48,0,33,1655400000000000013/40000000000000000000,8258400000000000063/200000000000000000000,2250099/62500000000,8251199683200000063/200000000000000000000,1653959936640000013/40000000000000000000,129070307550000001/3125000000000000000
I0057,FIXED_CW_CARRY_IN,v93-u0-e1-t05-d56b119fb810,0.2,1,9,9,48,0,34,1655400000000000013/40000000000000000000,8258400000000000063/200000000000000000000,37126683/1000000000000,8250974663400000063/200000000000000000000,1653914932680000013/40000000000000000000,129066791615625001/3125000000000000000
I0058,FIXED_CW_CARRY_IN,v93-u0-e1-t05-d56b119fb810,0.2,1,9,9,48,0,35,1655400000000000013/40000000000000000000,8258400000000000063/200000000000000000000,9562946250000001/250000000000000000000,41253748215000000311/1000000000000000000000,41346748215000000321/1000000000000000000000,10325062053750000079/250000000000000000000
I0059,FIXED_CW_CARRY_IN,v93-u0-e1-t05-d56b119fb810,0.2,1,9,9,48,0,36,1655400000000000013/40000000000000000000,8258400000000000063/200000000000000000000,7875378000000001/200000000000000000000,4125262311000000031/100000000000000000000,129205072218750001/3125000000000000000,8259824622000000063/200000000000000000000
I0060,FIXED_CW_CARRY_IN,v93-u0-e1-t05-d56b119fb810,0.2,1,9,9,48,0,37,1655400000000000013/40000000000000000000,8258400000000000063/200000000000000000000,20250999/500000000000,8250299600400000063/200000000000000000000,1653779920080000013/40000000000000000000,129056243756250001/3125000000000000000
I0061,FIXED_CW_CARRY_IN,v93-u0-e1-t05-d56b119fb810,0.2,1,9,9,48,0,38,1655400000000000013/40000000000000000000,8258400000000000063/200000000000000000000,41627109/1000000000000,8250074578200000063/200000000000000000000,1653734915640000013/40000000000000000000,129052727784375001/3125000000000000000
I0062,FIXED_CW_CARRY_IN,v93-u0-e1-t05-d56b119fb810,0.2,1,9,9,48,0,39,1655400000000000013/40000000000000000000,8258400000000000063/200000000000000000000,42752222999999997/1000000000000000000000,20624623888500000159/500000000000000000000,5167780972125000041/125000000000000000000,41295747777000000323/1000000000000000000000
I0063,FIXED_CW_CARRY_IN,v93-u0-e1-t05-d56b119fb810,0.2,1,9,9,48,0,40,1655400000000000013/40000000000000000000,8258400000000000063/200000000000000000000,4387733999999999/100000000000000000000,1649924906400000013/40000000000000000000,8268224532000000067/200000000000000000000,4129462266000000033/100000000000000000000
I0064,FIXED_CW_CARRY_IN,v93-u0-e1-t05-d56b119fb810,0.2,1,9,9,48,0,41,1655400000000000013/40000000000000000000,129182812500000001/3125000000000000000,2250123/50000000000,129042179812500001/3125000000000000000,1653599901600000013/40000000000000000000,16526699016000000129/400000000000000000000
I0065,DEADLINE_CARRY_IN,v93-u0-e1-t06-cfc83e02a77d,0.2,1,9,9,55,0,35,13150200000000000259/200000000000000000000,6570450000000000129/100000000000000000000,9562946250000001/250000000000000000000,32833124107500000643/500000000000000000000,65712748215000001291/1000000000000000000000,131378996430000002577/2000000000000000000000
I0066,DEADLINE_CARRY_IN,v93-u0-e1-t06-cfc83e02a77d,0.2,1,9,9,55,0,36,6658800000000000131/100000000000000000000,6640200000000000129/100000000000000000000,7875378000000001/200000000000000000000,13272524622000000257/200000000000000000000,13309724622000000261/200000000000000000000,13291124622000000259/200000000000000000000
I0067,DEADLINE_CARRY_IN,v93-u0-e1-t06-cfc83e02a77d,0.2,1,9,9,55,0,37,13466400000000000263/200000000000000000000,6709950000000000129/100000000000000000000,20250999/500000000000,6705899800200000129/100000000000000000000,13458299600400000263/200000000000000000000,26870099200800000521/400000000000000000000
I0068,DEADLINE_CARRY_IN,v93-u0-e1-t06-cfc83e02a77d,0.2,1,9,9,55,0,38,13605900000000000263/200000000000000000000,6779700000000000129/100000000000000000000,41627109/1000000000000,6775537289100000129/100000000000000000000,13597574578200000263/200000000000000000000,27148649156400000521/400000000000000000000
I0069,DEADLINE_CARRY_IN,v93-u0-e1-t06-cfc83e02a77d,0.2,1,9,9,55,0,39,13745400000000000263/200000000000000000000,6849450000000000129/100000000000000000000,42752222999999997/1000000000000000000000,68451747777000001293/1000000000000000000000,34342123888500000659/500000000000000000000,137135995554000002611/2000000000000000000000
I0070,DEADLINE_CARRY_IN,v93-u0-e1-t06-cfc83e02a77d,0.2,1,9,9,55,0,40,13884900000000000263/200000000000000000000,6919200000000000129/100000000000000000000,4387733999999999/100000000000000000000,691481226600000013/10000000000000000000,2775224906400000053/40000000000000000000,1108229962560000021/16000000000000000000
I0071,DEADLINE_CARRY_IN,v93-u0-e1-t06-cfc83e02a77d,0.2,1,9,9,55,0,41,14024400000000000263/200000000000000000000,6988950000000000129/100000000000000000000,2250123/50000000000,6984449754000000129/100000000000000000000,14015399508000000263/200000000000000000000,27984299016000000521/400000000000000000000
I0072,DEADLINE_CARRY_IN,v93-u0-e1-t06-cfc83e02a77d,0.2,1,9,9,55,0,42,14163900000000000263/200000000000000000000,7058700000000000129/100000000000000000000,9225516599999999/200000000000000000000,14108174483400000259/200000000000000000000,1769334310425000033/25000000000000000000,28262848966800000523/400000000000000000000
I0073,DEADLINE_CARRY_IN,v93-u0-e1-t06-cfc83e02a77d,0.2,1,9,9,55,0,43,14163900000000000263/200000000000000000000,7058700000000000129/100000000000000000000,47252709/1000000000000,7053974729100000129/100000000000000000000,14154449458200000263/200000000000000000000,28262398916400000521/400000000000000000000
I0074,DEADLINE_CARRY_IN,v93-u0-e1-t06-cfc83e02a77d,0.2,1,9,9,55,0,44,14163900000000000263/200000000000000000000,7058700000000000129/100000000000000000000,24188919/500000000000,7053862216200000129/100000000000000000000,14154224432400000263/200000000000000000000,28261948864800000521/400000000000000000000
I0075,DEADLINE_CARRY_IN,v93-u0-e1-t06-cfc83e02a77d,0.2,1,9,9,55,0,45,14163900000000000263/200000000000000000000,7058700000000000129/100000000000000000000,4950297/100000000000,7053749703000000129/100000000000000000000,14153999406000000263/200000000000000000000,28261498812000000521/400000000000000000000
I0076,DEADLINE_CARRY_IN,v93-u0-e1-t06-cfc83e02a77d,0.2,1,9,9,55,0,46,14163900000000000263/200000000000000000000,7058700000000000129/100000000000000000000,10125621/200000000000,7053637189500000129/100000000000000000000,14153774379000000263/200000000000000000000,28261048758000000521/400000000000000000000
I0077,DEADLINE_CARRY_IN,v93-u0-e1-t06-cfc83e02a77d,0.2,1,9,9,55,0,47,14163900000000000263/200000000000000000000,7058700000000000129/100000000000000000000,10350648599999999/200000000000000000000,14107049351400000259/200000000000000000000,1769193668925000033/25000000000000000000,28260598702800000523/400000000000000000000
I0078,DEADLINE_CARRY_IN,v93-u0-e1-t06-cfc83e02a77d,0.2,1,9,9,55,0,48,14163900000000000263/200000000000000000000,7058700000000000129/100000000000000000000,5287838399999999/100000000000000000000,705341216160000013/10000000000000000000,2830664864640000053/40000000000000000000,1130405945856000021/16000000000000000000
I0079,DEADLINE_CARRY_IN,v93-u0-e1-t06-cfc83e02a77d,0.2,1,9,9,55,0,49,14163900000000000263/200000000000000000000,14126700000000000259/200000000000000000000,10800705599999999/200000000000000000000,705794964720000013/10000000000000000000,1769137411800000033/25000000000000000000,7067249647200000131/100000000000000000000
I0080,DEADLINE_CARRY_IN,v93-u0-e1-t06-cfc83e02a77d,0.2,1,9,9,55,0,50,14163900000000000263/200000000000000000000,706800000000000013/10000000000000000000,2205147/40000000000,706248713250000013/10000000000000000000,14152874265000000263/200000000000000000000,28277848530000000523/400000000000000000000
I0081,DEADLINE_CARRY_IN,v93-u0-e1-t06-cfc83e02a77d,0.2,1,9,9,55,0,51,14163900000000000263/200000000000000000000,14145300000000000261/200000000000000000000,2250153/40000000000,14134049235000000261/200000000000000000000,14152649235000000263/200000000000000000000,7071674617500000131/100000000000000000000
I0082,DEADLINE_CARRY_IN,v93-u0-e1-t06-cfc83e02a77d,0.2,1,9,9,55,0,52,14163900000000000263/200000000000000000000,7077300000000000131/100000000000000000000,28689489/500000000000,7071562102200000131/100000000000000000000,14152424204400000263/200000000000000000000,1131821936352000021/16000000000000000000
I0083,DEADLINE_CARRY_IN,v93-u0-e1-t07-58744ea94fe6,0.2,1,9,9,64,0,7,431287500000000007/25000000000000000000,52893750000000001/3125000000000000000,13500125999999989/2000000000000000000000,33838499874000000651/2000000000000000000000,34489499874000000571/2000000000000000000000,34163999874000000611/2000000000000000000000
I0084,DEADLINE_CARRY_IN,v93-u0-e1-t07-58744ea94fe6,0.2,1,9,9,64,0,8,61612500000000001/3125000000000000000,47662500000000001/2500000000000000000,1968771/250000000000,47642812290000001/2500000000000000000,61587890362500001/3125000000000000000,484565622900000009/25000000000000000000
I0085,DEADLINE_CARRY_IN,v93-u0-e1-t07-58744ea94fe6,0.2,1,9,9,64,0,9,554512500000000009/25000000000000000000,132525000000000003/6250000000000000000,4500054000000001/500000000000000000000,10597499946000000239/500000000000000000000,11085749946000000179/500000000000000000000,10841624946000000209/500000000000000000000
I0086,DEADLINE_CARRY_IN,v93-u0-e1-t07-58744ea94fe6,0.2,1,9,9,64,0,10,607987500000000011/25000000000000000000,291787500000000007/12500000000000000000,2025027000000001/200000000000000000000,4666574973000000111/200000000000000000000,4861874973000000087/200000000000000000000,4764224973000000099/200000000000000000000
I0087,DEADLINE_CARRY_IN,v93-u0-e1-t07-58744ea94fe6,0.2,1,9,9,64,0,11,661462500000000013/25000000000000000000,39815625000000001/1562500000000000000,2250033000000001/200000000000000000000,5094149967000000127/200000000000000000000,5289449967000000103/200000000000000000000,1038359993400000023/40000000000000000000
I0088,DEADLINE_CARRY_IN,v93-u0-e1-t07-58744ea94fe6,0.2,1,9,9,64,0,12,142987500000000003/5000000000000000000,345262500000000009/12500000000000000000,6187599000000003/500000000000000000000,13804312401000000357/500000000000000000000,14292562401000000297/500000000000000000000,14048437401000000327/500000000000000000000
I0089,DEADLINE_CARRY_IN,v93-u0-e1-t07-58744ea94fe6,0.2,1,9,9,64,0,13,380137500000000009/12500000000000000000,735862500000000021/25000000000000000000,2700046800000001/200000000000000000000,5884199953200000167/200000000000000000000,6079499953200000143/200000000000000000000,1196369990640000031/40000000000000000000
I0090,DEADLINE_CARRY_IN,v93-u0-e1-t07-58744ea94fe6,0.2,1,9,9,64,0,14,805612500000000021/25000000000000000000,97650000000000003/3125000000000000000,7312636500000001/500000000000000000000,15616687363500000479/500000000000000000000,16104937363500000419/500000000000000000000,15860812363500000449/500000000000000000000
I0091,DEADLINE_CARRY_IN,v93-u0-e1-t07-58744ea94fe6,0.2,1,9,9,64,0,15,106368750000000003/3125000000000000000,826537500000000027/25000000000000000000,7875157499999999/500000000000000000000,16522874842500000541/500000000000000000000,17011124842500000481/500000000000000000000,16766999842500000511/500000000000000000000
I0092,DEADLINE_CARRY_IN,v93-u0-e1-t07-58744ea94fe6,0.2,1,9,9,64,0,16,896287500000000027/25000000000000000000,87187500000000003/2500000000000000000,105471/6250000000,87145311600000003/2500000000000000000,895865616000000027/25000000000000000000,1767318732000000057/50000000000000000000
